Country,solution,path,count
UK,PLS,1St Appointment → 2Nd Appointment → 2Nd Appointment → Meeting → 1St Appointment,1
UK,PLS,2Nd Appointment → 2Nd Appointment → 2Nd Appointment → 2Nd Appointment → Demo → 2Nd Appointment → On-Site → 2Nd Appointment → Email → Email → Email,1
UK,PLS,Call,1
UK,PLS,Email,1
UNKNOWN,MRS,Meeting,2
UNKNOWN,MRS,Call,1
UNKNOWN,MRS,Call → Call,1
UNKNOWN,MRS,Call → Call → Call,1
UNKNOWN,MRS,Email,1
US,Digital,Call → Call,5
US,Digital,Call,4
US,Digital,Call → Email,2
US,Digital,Email → Call,2
US,Digital,Call → Call → Call → Call,1
US,MRS,Call,629
US,MRS,Call → Call,375
US,MRS,Email,333
US,MRS,Email → Email,160
US,MRS,Call → Call → Call,113
US,PLS,Call,6
US,PLS,Call → Email,5
US,PLS,Email → Email,4
US,PLS,Email,3
US,PLS,Email → Call,2
[NULL],MRS,Email,31
[NULL],MRS,Email → Email,6
[NULL],MRS,1St Appointment,2
[NULL],MRS,Email → Meeting,2
[NULL],MRS,1St Appointment → 2Nd Appointment,1
